Tag,出现次数,中文描述
vegetable,6,蔬菜
venuebase,2,地点
vouldjeff,1,伏尔杰夫
wfilmbase,1414,胶片库
wilwaldon,1,维尔瓦尔登
wodehouse,5,监狱
woodstock,15,树木
wrestling,10,摔跤
activities,2,活动
ad_network,1,ad 网络
adaptation,902,适应
adventures,2,冒险
advertiser,2,广告商
alexcruise,4,弹性
allmybase1,2,全美基础1
alscardoso,1,阿尔斯卡多索
alvinwhong,2,胜利
ambassador,8,大使衔
amino_acid,19,氨基酸性
animemanga,110,阿尼梅曼加语Name
anselmhook,4,阿塞尔姆霍克
antarctica,1,北极地区
astronomer,6,天文学家
atitdatlas,4,地图集
aurametrix,7,气压
automotive,14,汽车
bangladesh,5,鸡尾酒
base_topic,19,碱基 主题
basketball,87,篮球
bbcnathist,6,布克纳特
bensonwang,1,宾森旺
biblioness,1479,双曲线
bibs_topic,569,Bibs 专题
biologydev,4,生物学
blackhound,5,黑猎犬
board_game,1,棋盘 游戏
body_color,1,颜色
bookstores,3,书店
bruceesrig,9,布鲁塞斯里格
cannapedia,22,坎纳佩迪娅
cathedrals,2,教会
chaswarner,6,查斯瓦纳
cheguevara,7,切盖瓦拉
cityofbari,4,马里市
club_owner,1,俱乐部主
coat_color,1,颜色
coinsdaily,13,硬币每日
collective,2,集体
competitor,13,竞争者
conference,1,会议
connection,11,连接
contestant,32,参赛者
continents,7,大陆
cool_tools,2,凉爽工具( T)
crime_type,16,犯罪类型
curly_girl,6,卷轴女孩
dance_form,1,舞蹈( F)
daylife_id,117,日寿( id)
dccardwell,5,卡尔韦
dead_at_27,6,在 27时
dead_by_30,11,至30岁
dead_by_40,3,死时  40
dearflight,2,飞行
dedication,133,奉献
department,41,部门
discipline,1,纪律
domaintest,2,域测试
draft_team,1,草稿( T)
drug_class,7,药物类
drug_extra,5,药物
dylanrocks,105,龙岩
e21_person,1,电子21  人
electronic,12,电子
eurovision,1,欧元
fairestcat,31,最美的猫
fairytales,6,童话故事
fame_event,1,名声事件
famouspets,191,名片
film_extra,1,胶片外部( A)
film_genre,168,电影流派( G)
focal_taxa,1,焦距税a
food_extra,23,外购
foursquare,3,四平方圆
freshpicks,6,新鲜的夹子
game_genre,16,游戏类型( G)
gangofnuns,1,帮派
girlscouts,13,女童
given_name,2,给定名称( N)
givennames,6,给定名称
godparents,37,教父亲
gossipgirl,13,闲话女孩
government,1498,政府
grand_tour,2,宏图
greatfilms,561,大电影
gunsnroses,6,枪
hailey2009,7,冰雹2009号
hair_color,8,头发( C)
hairstyles,4,发型
helpmebase,2,帮助菜单库
horsefacts,11,马的假象
ice_hockey,58,冰块
iceandfire,13,冰冻火
identifier,1,标识符
ingredient,22,成分
instrument,120,文书
internship,1,实习
jazzonline,1,爵士乐在线
kinometric,6,外观
knockoffed,10,击倒
legislator,17,立法者
lens_mount,1,镜片( M)
lewislhart,4,莱斯哈特
librettist,46,自由主义
litcentral,175,中点
lived_with,2,与
lookalikes,13,长得像
losangeles,16,罗桑格尔斯
lucasfilms,6,润滑胶片
malemodels,31,男性模特
mapcentral,40,中图
marsupials,13,残废
mediaasset,10,媒体资产
mediatordt,2,调解人
metabolite,18,代谢物
metaschema,4,分子计数
monsterceo,17,怪兽座
motorcycle,3,摩托车
movies1001,290,电影1001
narphorium,5104,ium
negativboy,5,纳加蒂夫男孩
newsevents,69,新条
newthought,2,新思维
ngerakines,86,恶灵
noble_rank,7,高级( R)
occupation,41,职业
ontoligent,2,跳动
ontologies,2421,肿瘤
opensource,1,开源
ottoadorno,5,奥托多尔诺
paincrisis,3,疼痛危机
painttwits,1,骗子
parliament,5,议会
paul_houle,3,保罗胡尔
paulshanks,7,鲍尔斯汉克斯
periodical,6,期刊
pet_gender,2,宠物 性别
philosophy,168,哲学
pimfortuyn,8,双福尔图因
pixarfilms,25,像素胶片
poetrybase,31,诗歌库
politician,149,政治家
prefecture,21,省会
profession,254,职业
provenance,1,来源
psych0fred,1,心理医生
ptsdcombat,1,战斗
punishment,1,惩罚
real_place,30,实际位置
realmadrid,4,实录
recreation,2,娱乐
references,89,参考文献
regulation,2,条例
republican,1,共和国
restaurant,8,餐厅
ride_theme,58,运行( T)
robinboast,5,罗宾博亚斯特
room_theme,2,会议室主题
rose_color,6,玫瑰颜色
royal_line,21,皇家线条
rpf_person,8,参数( P)
rugby_club,1,橄榄球 俱乐部
scottburke,1,Scottburke (英语).
sendoplasm,2,发件人
settlement,1,结算
sexual_act,3,性动作( A)
shce021709,165,schce021709 (英语).
ship_class,1,船级
ship_owner,12,船东
showburner,1,显示器
sign_color,2,符号( C)
skyscraper,1,摩天大楼
soapoperas,39,肥皂纸
songwriter,240,歌曲撰写器
soundalike,1,听起来像
statistics,2,统计
subculture,4,亚文化
supermodel,4,超级模型
supertopic,2,超专题
surf_break,3,冲浪( B)
tag_bundle,1,标记( B)
tagasauris,61,塔卡萨乌里
tahatfield,1,塔哈菲尔德
television,2,电视
thadguidry,28,红色
therockbat,2,摇滚乐
tomeverett,8,托迈特
translator,6,笔译员
tunnel_use,2,隧道使用( U)
tv_channel,9,tv 频道
tv_network,89,tv 网络
tv_program,333,tv 程序
tv_station,7,tv 站点
tv_subject,236,tv 主题
twin_peaks,9,双峰
tylerstype,1,tylers 类型
university,719,大学
uoa_vendor,6,视频( V)
uol_author,4,uol 作者
us_senator,6,us 语句
usmanlatif,1,乌曼拉蒂夫
valenciacf,2,valenciacf 数据
video_game,1,视频游戏
vietnamwar,23,维埃特南瓦尔省
visual_art,327,视觉艺术
volleyball,2,排球
wastrology,11,编年史
watch_type,1,监视( T)
whamoworld,2,这个世界
windenergy,1,风能
word_sense,1,字数
yale_topic,1,雅尔语 主题
yoganandan,3,瑜伽南丹语
zeropointv,2,零点v
zxspectrum,31,zx光谱
aat_mapping,1,绘图( M)
abrudtkuhul,2,阿布鲁特库胡尔
aceattorney,2,捷径律师
achievement,13,成绩
acocksgreen,1,北极绿
ad_director,2,add 导演
advertising,21,广告
angiexiayin,2,阿吉克赛因
animalnames,16,动物名称
anime_title,14,动画标题( T)
appellation,1,缩写
ar_province,2,省会
area_served,2,区域( S)
armed_force,34,武装
art_gallery,2,艺术( G)
art_subject,161,艺术 主题
artmetadata,6,艺术数据
artwebsites,1,艺术网站
asset_owner,39,资产所有者
attribution,1,归属
award_judge,4,裁决 法官
babypixie34,1,婴儿皮克西34
ballet_rank,1,芭蕾舞 排行榜
band_leader,1,带宽( L)
beaconlight,1,灯塔灯
bibliostuff,2,双曲线
blacklisted,2,黑名单
blog_design,1,博客设计( D)
breakingbad,2,破烂
breed_group,1,品种( G)
brianussery,1,布里安·卢塞里(Brianusserry)
bridge_type,2,桥型( T)
burjkhalifa,1,布尔杰卡利法
caseysbased,1,基于案例
cdnpolitics,24,政治学
celebrities,857,名人间
chess_color,2,围棋( C)
chinacities,9,汉字
cn_province,16,cn 省会
collectives,31,集体
collegeprep,3,大学预科
comic_books,154,漫画书
comic_strip,1,漫画脚步
competition,2,竞争
composition,1,组成
conferences,52,会议
constrction,1,缩写
creationism,2,创造主义
creationist,1,创建者
csa_product,1,csa 产品
damslattery,2,坝体
dance_style,3,舞风
dance_venue,1,舞风
description,1,说明
distributor,4,分销商
domaintest5,2,域测试5
domaintest7,1,域测试7
domaintest8,2,域测试8
donald_nagy,1,甜甜圈( N)
earthquakes,78,地震
engineering,52,工程学
es_province,1,省会
event_class,3,事件 类
exhibitions,173,展览
explanation,1,解释
file_format,3,文件格式
film_critic,3,电影   批评
film_format,9,胶片( F)
film_series,4,电影系列
film_studio,1,胶片 studio
filmcameras,8,电影摄像头
firefighter,1,消防员
foodrecipes,40,食谱
game_series,2,游戏( S)
geolocation,1,地理位置
goldenbooks,4,金色书
golfcourses,2,高尔夫球场
gossip_node,1,八卦节点
gossipgirl1,5,闲话女孩1
gossipgirl3,7,闲话女孩3
government2,9,政府2
grade_level,2,级别( L)
gregtyrelle,1,格勒泰雷尔
harrypotter,36,电击手
hockey_team,79,曲棍球小队
horse_breed,2,马力( B)
horseracing,4,赛马
hotel_brand,2,旅馆品牌
hp_computer,1,hp  计算机
human_sense,1,人类语气( S)
hunting_dog,1,猎狗
hypotyposis,1,假冒症
id_province,5,id 省会
illustrator,16,插图
in_district,3,地区
inspiration,9,灵感
institution,1,机构
int_zm_nyek,5,int zm nyek (单位)
interviewee,3,受访者
interviewer,2,面试者
island_area,1,岛屿区域
it_province,14,省会
ivanwong_23,1,ivanwong 23 (英语).
jobmastates,24,工作状态
journalists,6,记者
kaplanmyrth,1,卡普朗梅尔斯
kp_province,1,kp  省份
lawyer_type,5,律师类型
legal_right,1,合法( R)
listed_site,87,上市网站( S)
lubenotlube,11,润滑油
manga_title,2,漫画( T)
market_area,7,市场 区域
martial_art,7,武术
mathematics,5,数学
maximumnj15,1,上限j15
meanstreets,7,街道
media_genre,343,介质类型( G)
metaratings,1,计量
meteorology,109,气象学
mexicanfood,10,墨西哥食品
missamerica,1,墨西哥
mixed_drink,1,混合( D)
montypython,7,mon
moral_agent,6,道义代理人
motorsports,1,运动场
mst3k_short,1,mst3k 短数
music_video,6,音乐 视频
musicvideos,23,音乐视频
my_homepage,13,我的首页
mybasexibei,1,我的基地北区
myfirsttype,1,我的第一个类型
myinterests,1,我的兴趣
name_source,421,名称( S)
nationality,1,国籍
new_zealand,2,新泽地
newyorkcity,186,新奥尔良
ninamarlene,6,尼纳玛琳
nl_dominion,2,nl 属性
nl_province,11,nl 省会
nndb_person,2446,nndb 个人
nobelprizes,168,无贝尔普雷兹
noble_house,6,贵族住宅
noble_title,4,高级标题( T)
nz_dominion,1,nz 多维度
object_type,1,对象类型
observances,2,纪念活动
observatory,1,观测站
opera_genre,7,歌剧流派
option_list,2,选项列表( L)
paper_shape,1,纸张形状
park_system,3,park 系统
partnership,11,伙伴关系
performance,16,业绩
periodicals,1489,期刊
person_sign,148,符号( S)
pescosolido,1,松饼
philosopher,60,哲学家
pome_fruits,2,果实
postal_code,22,邮政编码
prayer_book,1,祈祷页( B)
printmaking,5,打印
prison_type,1,监狱类型( T)
pro_athlete,165,亲选
proficiency,1,熟练程度
programming,4,方案拟订
psygnisfive,5,心理医生
publication,3,出版物
ranked_item,1932,排序( R)
ranked_list,9,排序( L)
real_estate,1,不动产
real_person,3,真实人物
restaurants,1,餐厅
risk_factor,99,风险因素
rocket_fuel,1,火箭 燃料
royal_house,2,皇室( H)
royal_realm,4,皇家现实
saltproject,8,盐类项目
scottishmps,2,缩略语
scubadiving,26,恶作剧
sector_type,1,扇形类型
serjtankian,15,塞尔维亚
shahidul_15,2,沙希杜尔  15
shaped_city,15,形状( C)
shareholder,13,股东
soccer_team,4,足球队
socialdance,9,社交活动
socialgraph,1,社会图
songwriters,26,作曲家
sovereignty,3,主权
spaceflight,24,空间飞行
sponsorship,13,赞助
sport_extra,9,运动( Extra)
sport_medal,3,运动( M)
sports_team,1003,运动团队
sports_test,11,运动测试( T)
star_system,1,恒星系统
starcrossed,1,星际交叉
stefankumor,8,斯泰凡库莫尔
superheroes,3,超级英雄
supertopics,4,超专题
switzerland,12,斯维策兰
symbol_user,5,符号“用户”
tabletennis,7,餐饮
tamilmovies,1,塔米尔莫维人
team_gender,2,团队 性别
team_roster,3,团队( R)
techgnostic,21,技术
televisions,8,电视机
the_27_club,46,27 俱乐部
thebigpitch,26,大块头
thejurypool,1,陪审团
theme_parks,1,主题( P)
thewestwing,20,西侧
tina526base,8,蒂纳526基
topic_extra,1,专题 外部
tournaments,49,锦标赛
translation,2,翻译
trash_metal,1,回收站( M)
tv_director,473,tv 导演
tv_location,52,tv 地点
tv_producer,828,tv 生产者
uk_dominion,10,uk dominion 语句
underground,1,地下
us_congress,82,我们的大会( C)
us_dominion,4,我们的主控
vampirehigh,3,吸血鬼高处
whedonverse,21,转弯
wine_region,20,葡萄酒区域
worldhiphop,23,世界跳动
worldwartwo,78,世界大战
adapted_work,200,适应工作( W)
airport_type,1,机场 类型
americanidol,10,美国醇
ancientegypt,2,古埃及语Name
animal_breed,7,动物( B)
animal_owner,9,动物所有者
anime_series,14,anime 序列
api_provider,9,api 提供方
architecture,359,结构
argumentmaps,287,参数图
award_winner,3599,获奖者( W)
barbie_theme,1,barbie 主题
bintro_topic,1,二进制主题( T)
bioventurist,112,生物通风师
birdwatching,2,观鸟
board_member,99,理事( C)
bodybuilders,2,健美运动员
book_subject,2334,书目 主题
boxing_match,1,拳击( M)
breed_origin,88,品种来源
bridge_extra,1,桥外
bv_geography,2,bv 地理学
ca_territory,3,ca 领土
capital_city,5,大写( C)
captial_city,1,投降( C)
carlo_velten,1,carlo velten
carmenmfenn1,31,车门芬1
casino_owner,2,赌场所有者
casino_theme,25,赌场主题
causal_event,1,因果活动
centenarians,3,百岁
chess_player,27,围棋玩家
chinmaygarde,1,下士会
christianity,10,基督教会
city_council,1,城市( C)
civil_parish,14,民事( P)
coat_of_arms,2,图标( A)
coffee_brand,1,咖啡品牌
collaborator,1,合作者
column_genre,2,列类型( G)
comedy_genre,8,喜剧 流派
comedy_group,2,喜剧 组
comic_strips,34,漫画
common_sense,12,常识( S)
company_type,8,公司类型( T)
concert_film,2,音乐会 电影
concert_tour,2,协奏曲( T)
content_type,1,内容( T)
context_name,873,上下文名称
council_area,13,理事会区域
cricket_team,8,板球小队
crime_victim,30,犯罪 受害人
cryptography,2,密码学
cuisine_dish,4,烹饪   干
cvg_designer,38,cvg 设计器
cvg_platform,18,cvg 平台
daftwordhero,1,达夫特语英雄
detroiter313,5,detroiter313 (英语).
digitalmedia,1,数字媒体
dongchun1984,1,东春(1984年)
duiattorneys,6,律师
edible_plant,2,可食用植物
editor_title,3,编辑器( T)
elisa_dushku,1,埃利萨-杜什库
endorsements,6,认可
engineering1,6,工程1
entertainers,15,艺人
ethnic_group,3,种族
famous_czech,1,著名( C)
federal_city,2,联邦( C)
fgdc_keyword,12,fgdc 关键词
film_company,31,电影 公司
film_ratings,1,胶片( R)
film_studios,2,电影研究( S)
film_subject,572,胶片 主题
first_family,1,第一个家庭( F)
food_product,4,粮食 产品
former_state,1,前态
freesoftware,1,免费软件
frickenfunny,1,该死的
galalelsoury,2,格莱勒苏里
geektastique,3,奇特的调味品
gr_periphery,1,gr 周边
gratefuldead,24,谢天谢地
groovehunter,11,格鲁弗猎手
group_member,1408,组 成员
hall_of_fame,12,图标( F)
henrimatisse,1,鸡尾酒
home_address,1,地址
horticulture,22,园艺
imdb_profile,2,图像( P)
infinitejest,4,无限欢乐
irish_county,23,爱尔兰语( C)
island_group,7,岛群
italian_city,2,意大利语 城市
italianbooks,3,意大利图书
jambandmusic,4,干扰音乐
jamesbond007,46,贾梅斯邦007
johnmarshall,1,约翰马歇尔
joshuamclark,1,乔斯瓦姆克拉克
jp_city_town,11,jp 城市 镇
juniorbonner,5,初级
kamal_parvez,2,卡马尔-帕尔韦斯
kenny1234567,2,肯尼1234567号
kishorekumar,1,基肖尔库马尔
land_manager,1,陆地管理器
last_fm_band,1,最后一个( fm 波段)
legal_system,6,法律系统
lewiscarroll,1,莱斯卡罗
living_thing,1,活动( W)
logoed_topic,1,标记为主题( T)
lynndemarest,1,伦敦
mailinglists,1,邮件列表
manga_author,1,漫画作者
manufacturer,3,制造商
marchmadness,111,游行疯狂
marciopadrao,16,马尔西奥帕德拉奥
marijuana420,8,大麻420类
martial_arts,18,武术
masterthesis,288,硕士
mathematics1,5,数学1
maxhudson184,10,最大宽度184
media_common,4163,媒体  常见
media_format,7,介质格式
media_source,1,媒体( S)
mediapackage,3,媒体包装
medical_term,106,医疗学期
mla_operator,1,mla 操作器
motivation_s,7,动机( S)
moviereviews,3,电影审查
municipality,38,市镇
music_artist,3,音乐 艺术家
musical_form,2,音乐( F)
musical_game,6,音乐游戏
musical_term,1,音乐( T)
musicalstyle,2,音乐风格
musicmanager,6,音乐管理器
mylittlepony,4,我的小马
myspace_user,276,我的空间用户
named_person,43,名称( P)
neighborhood,20,邻里
noble_person,30,高级人物
nris_listing,20,正则列表( I)
onechanneltv,57,单通道tv
onephylogeny,35,单亲性
opera_singer,3,歌剧唱家
orbited_body,4,轨道( O)
organization,5935,组织
owned_animal,2,自有的动物
paintertable,2,绘画表
park_feature,2,公园( F)
pastusobrown,43,面额
paullinkedup,1,保罗连结
permaculture,14,长期农业
person_extra,603,外部单词
photographer,2,摄影师
phpdeveloper,10,开发者
plural_topic,1,复数主题
port_of_call,15,调用端口( O)
product_line,9,产品 行
programming1,1,方案规划1
project_role,33,项目( R)
project_type,1,工程类型
propositions,35,提议
protest_type,2,抗议类型
publications,1,出版物
publicsafety,2,公共安全
questionable,1,有问题
radio_format,45,收音机( F)
ranked_lists,172,排序( L)
record_label,169,记录  标签
record_types,2,记录 类型
registrosvoz,3,登记
rfid_company,3,rfid company (中文(简体) ).
rogerfederer,1,收到请求者
roman_empire,6,罗马语 empire
roman_region,2,罗马语区域
rugby_player,1,橄榄球运动员
sanfrancisco,48,桑弗朗西斯科语Name
screamfestla,1,尖叫节
sementic_web,3,固态  网络
shapedcities,30,形状城市
ship_builder,12,建造船
skateboarder,2,滑板游戏
skill_output,1,技能输出
skilled_role,3,技术作用
slowmovement,2,缓慢移动
smarthistory,18,智能历史
soccer_squad,1,足球队
software_use,1,软件( U)
space_agency,1,空间机构
special_ward,2,特别向导
speech_topic,24,语音( T)
springfields,4,弹簧场
storytelling,3,讲故事
studyireland,1,学习区域
tagged_topic,48,标记主题( T)
targetstores,1,目标
technologies,1,技术
thesocialset,26,社会集
torchbearers,1,火炬手
tourdefrance,3,旅游障碍
toy_category,2,玩具类( C)
transit_line,1,中转线
transit_stop,6,中转站( Stop)
tv_character,38,tv 特性
tv_crew_role,21,tv 乘员 作用
twinned_town,19,双胞胎镇( T)
twinnedtowns,38,双胞胎城镇
twitter_user,84,推特用户
type_of_dish,1,diish 类型( O)
type_profile,1,类型( P)
ufo_observer,1,观测器
ukparliament,15,议会
universities,3,大学
urbanlegends,3,城市群
us_president,37,我们的主席
us_territory,4,us 领土
usgovernment,10,我们的政府
uspolitician,3,巫师
venice_scene,1,风景( S)
washingtondc,84,洗衣机dc
webdeveloper,1,网络开发者
welshculture,2,纺织业
wine_regions,1,葡萄酒区域
worldwonders,8,世界园丁
written_work,5,写入( W)
yacht_racing,6,游艇竞速
yuribushagin,1,乌里布沙金
academyawards,781,学士学位
accommodation,2,住宿费
ad_spot_actor,3,ad spot 显示器
adopted_child,1,被收养的孩子( C)
adult_content,1,成年内容( C)
aircraft_line,1,飞机( L)
aircraft_type,1,飞机 型号
airport_extra,1,机场( A)
american_poet,1,美国语小于
animal_gender,2,动物 性别
architecture2,4,结构2
artistpainter,5,艺人
assassination,6,暗杀
athlete_extra,56,运动员外部( Extra)
aubreymaturin,170,奥布里马图林
award_nominee,4084,授予( N)
ballet_dancer,1,芭蕾舞剧演员
ballet_school,1,芭蕾舞 学校
baseball_team,41,棒球队( T)
basebase1base,3,基础1 基础
baywatchbabes,5,湾表贝
bearded_freak,5,胡须( Freak)
beverage_type,1,饮料  类型
bibs_location,910,bibs 位置( L)
body_of_water,21,单位 水
braziliangovt,8,巴齐利亚戈夫特
breeds_of_dog,5,品种( O)
bridge_player,6,桥牌玩家
cars_refactor,5,车厢( Refactor)
cause_of_loss,1,损失原因( O)
cellfishmusic,2,手机音乐
chinesemovies,8,中国人
chinesezodiac,1,中国黄道
choreographer,1,编舞
chriseppstein,1,鸡尾酒
clique_member,11,成员
club_interest,14,俱乐部 利息
code_category,7,代码( C)
column_author,7,栏( A)
comedy_writer,10,喜剧作家
commoningcafe,2,普通咖啡厅
consciousness,1,意识
convictsydney,2,定罪
cool_musician,1,凉爽的音乐人
creative_work,1,创造性工作
crime_accuser,4,犯罪行为( A)
crime_suspect,4,犯罪 犯罪嫌疑人
cryptographer,1,密码学家
culturalevent,75,文化活动
cvg_developer,100,cvg 开发者
cvg_publisher,110,cvg publisher (中文(简体) ).
cycling_event,1,循环活动( Y)
da_hillz_boyz,1,达 希尔兹 博伊兹
dance_tv_show,2,跳动  tv 显示
data_provider,4,数据提供者
database_host,4,数据库( H)
date_of_death,1,死亡日期( O)
daylifetopics,236,日间生活主题
diet_follower,92,饮食( F)
digitalcamera,2,数码相机
disaster_type,2,灾难类型
disease_cause,63,疾病 因为
disease_stage,1,疾病( P)
draft_athlete,1,草稿( T)
entertainment,1,娱乐
event_outcome,1,事件 结果
exercise_type,2,练习类型( T)
family_member,89,家族成员
famous_author,10,著名作者( A)
famous_object,1,著名对象( O)
famousobjects,1,著名对象
fantasticfest,7,精彩的节日
fashion_model,11,时尚模式
fashionmodels,77,时装模特
federal_state,1,联邦
feed_category,3,feed 分类
film_cut_type,2,胶片 剪切 类型
film_festival,5,电影节( F)
film_location,594,胶片位置( I)
film_musicals,6,电影 音乐
film_theorist,1,电影理论家
filmographies,17,电影
flag_referent,311,旗标( R)
flightnetwork,1,飞行网络
food_additive,3,食物添加
football_team,847,足球队
former_colony,1,前殖民地
fr_department,18,部门
game_designer,8,游戏设计器( D)
gameplay_mode,2,游戏播放  模式
gcmd_keyword1,1,gcmd 关键词1
golf_facility,1,高尔夫球设施
goodrelations,2,良好关系
grape_variety,1,葡萄变数
graphicnovels,4,图形小说
greenbuilding,1,绿色建筑
guysnamedfred,2,伙计们叫弗雷德
hauntedplaces,1,闹鬼的地方
head_of_state,1,状态标题( F)
hoax_location,3,骗局位置
hockey_league,2,曲棍球协会
hockey_player,2,曲棍球运动员
hull_material,1,壳体  材料
impressionism,3,印象主义
inaugurations,72,就职典礼
indian_tribes,1,印地语   部落
infoafricanow,1,现在非洲
internet_meme,1,互联网 我
internetmemes,2,网点
iskaldursbase,1,碱基
iucn_category,1,iucn 类别
jewishstudies,22,犹太研究
jobstoredotin,1,任务重排
jonnydomestik,1,约尼多米斯蒂克
jp_prefecture,18,省会( P)
judaica_owner,1,judaica 拥有者
kaireesystems,1,矿床系统
karnaticmusic,1,卡尔纳特音乐
lastfm_artist,1,lastfm 艺人
legal_subject,7,法律主题
lewisandclark,102,蓝宝石
lindagirl2011,2,2011年女孩人数
list_category,1,列表( C)
lloydbancaire,1,卢森堡
local_history,1,本地历史
loveyou2madly,12,爱你两个疯狂
lrerutdanning,2,冷冻
macronutrient,4,宏营养素
manuelbuenaga,2,马努埃尔布埃纳加
mathematician,3,数学家
mediaextended,18,媒体延伸
meeting_focus,10,会议 焦点
menu_provider,1,菜单( P)
microorganism,1,微生物
military_post,24,军职
mobile_phones,33,手机
moral_agent_m,2,道义( A)
mountain_type,1,山形类型
movietheatres,4,电影剧场
murder_method,5,谋杀方法( M)
music_teacher,20,音乐   老师
musical_group,206,音乐小组合
mylifetimecom,1,我的生命时间com
narcotic_drug,1,麻醉药品
nascar_driver,1,Nascar 驱动器
netflix_genre,168,净弗利克斯  流派
netflix_title,1927,净flix 标题
northcarolina,25,北卡罗琳娜州
nuclear_power,8,核电
olivergbayley,2,橄榄球会
olympic_event,1,奥林匹克活动
olympic_games,43,奥林匹克游戏
olympic_medal,3,奥林匹克 medal
olympic_sport,64,奥林匹克运动( S)
olympic_venue,1,奥林匹克 风景
organic_thing,67,有机键( W)
organism_part,2,有机块( D)
organizations,4,组织
original_idea,32,原创 idea
original_name,1,原始名称
phytochemical,1,植物化学
pokemon_basis,4,插孔基数( B)
polled_entity,1,接受调查的实体
postneolithic,25,后石学
private_pilot,17,私人驾驶
product_brand,7,产品 品牌
product_model,2,产品 模型
product_theme,28,产品 主题
project_focus,72,项目 焦点
project_phase,1,项目 阶段
pronunciation,1,发音
qualifikation,2,qua
radio_network,6,无线电网络
radio_station,5,无线电台
radio_subject,69,电台 主题
radiostations,9,无线电台
recorded_work,1,记录工作( W)
release_track,1,释放轨道( T)
retail_outlet,3,零售( O)
retail_stores,1,零售商店
reviewed_work,8,已审查工作( W)
revolutionary,3,革命主义
ride_designer,8,运算符( D)
roman_emperor,1,罗马语( E)
salzburgnight,3,萨尔茨堡之夜
schemastaging,4771,计划
school_mascot,13,学校( mascot)
schwarzenbach,1,施瓦岑巴赫语Name
scottish_clan,1,苏格兰语( C)
scottishclans,2,苏格兰兰
semanticnames,3,语义名称
series_editor,1,序列编辑器
sexual_fetish,1,性爱( F)
skateboarding,8,滑板
sport_country,94,运动 国家
sports_league,13,运动同事
sportsrecords,2,运动记录
sportssandbox,2,运动箱
stradivarius6,1,斜变6
tallactresses,4,计数器
technopundits,10,技术
tennis_player,9,网球运动员
theater_actor,612,剧场( A)
theater_genre,46,剧场流派( G)
theatre_stars,2,剧场( S)
themuppetshow,6,他们的木偶放映
thoughtranker,7,思绪型
time_interval,1,时间间隔( T)
titled_person,72,标题( P)
train_station,1,火车站
tv_crewmember,9,tv 船员
twitter_topic,1,推特主题
type_of_agent,1,代理类型( A)
type_of_event,2,活动类型( O)
type_of_rugby,2,类型( R)
type_of_thing,17,类型( W)
unitednations,28,联合
urban_commune,1,城市社区
vancouver2010,102,梵库维2010年
verrecarnaval,3,阴道导航
video_release,1,视频( 释放)
visual_artist,66,视觉艺术家
website_owner,85,网站拥有者
winning_night,4,获胜夜
x1930s_movies,2,x1930s  movies (中文(简体) ).
x1940s_movies,2,x1940s  movies (英语).
x1950s_movies,2,x1950s  movies (中文(简体) ).
zsi_editorial,48,zsi 编辑
activism_issue,33,活动 问题
adopted_person,2,被采纳者( P)
aircraft_model,2,飞机型号
aircraft_owner,38,飞机拥有者
americancomedy,1161,美国喜剧
ancient_greece,1,古希腊语Name
andrewswerdlow,1,转弯
anime_director,1,anime 方向器
appointed_role,9,任命( R)
aptamer_target,4,普塔默尔 目标
armoryshow1913,8,1913年军械库
articleindices,6,物品
asteroid_group,1,小行星组
athletics_area,9,运动区( A)
award_category,488,裁决  类别
award_ceremony,149,授奖仪式( C)
awrinkleintime,4,皱纹时间
baconpatiobeer,2,培根花鸟
bollywooddiary,1,杂木
book_character,19,书名( C)
breed_registry,1,品种( R)
cabinet_member,3,内阁 成员
